ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,23,1,3,8,24
2,M,friend,17,0,2,24,108
3,F,friend,5,1,4,0,50
4,F,friend,3,0,0,4,29
5,M,friend,8,1,1,3,34
6,F,friend,6,1,5,2,21
7,F,friend,19,0,1,2,24
8,M,friend,22,0,5,18,41
9,M,friend,6,0,4,2,23
10,M,friend,9,0,11,2,39
11,M,friend,9,1,1,20,92
12,F,friend,9,1,3,10,35
13,F,friend,27,4,19,35,92
14,M,friend,14,1,3,14,50
1,F,professor,33,4,10,9,33
2,M,professor,13,1,6,12,24
3,F,professor,18,0,14,3,51
4,F,professor,20,1,10,7,34
5,M,professor,13,2,4,3,21
6,F,professor,7,2,9,4,26
7,F,professor,12,0,8,7,19
8,M,professor,9,1,6,4,35
9,M,professor,16,0,10,3,31
10,M,professor,8,0,6,2,43
11,M,professor,7,1,6,7,37
12,F,professor,7,1,3,12,25
13,F,professor,13,2,12,8,19
14,M,professor,12,2,13,13,34
