ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,18,14,23,12,2
2,M,friend,9,15,7,14,10
3,F,friend,20,12,4,13,4
4,F,friend,23,4,13,9,4
5,M,friend,30,4,16,13,9
6,F,friend,11,8,8,13,1
7,F,friend,8,8,6,10,1
8,M,friend,13,4,12,13,5
9,M,friend,16,4,23,10,6
10,M,friend,16,5,12,13,13
11,M,friend,12,1,11,15,11
12,F,friend,17,9,10,12,1
13,F,friend,8,9,5,6,7
14,M,friend,19,12,27,4,7
1,F,professor,12,3,5,1,0
2,M,professor,14,3,1,1,0
3,F,professor,7,4,1,6,1
4,F,professor,14,3,3,1,0
5,M,professor,7,0,3,5,2
6,F,professor,5,0,3,9,0
7,F,professor,5,5,7,3,0
8,M,professor,13,3,1,6,4
9,M,professor,5,0,3,8,1
10,M,professor,16,2,6,12,5
11,M,professor,13,2,0,4,0
12,F,professor,9,0,3,12,1
13,F,professor,6,2,1,8,2
14,M,professor,4,1,3,2,1
