ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,249,231,132,369,37
2,M,friend,74,226,105,366,237
3,F,friend,124,286,47,241,105
4,F,friend,136,76,80,143,51
5,M,friend,185,150,144,210,109
6,F,friend,99,110,90,224,23
7,F,friend,107,201,69,158,35
8,M,friend,142,165,94,294,186
9,M,friend,158,206,145,117,43
10,M,friend,137,230,127,202,178
11,M,friend,154,92,41,564,308
12,F,friend,84,147,59,175,78
13,F,friend,153,121,96,250,149
14,M,friend,325,193,191,283,107
1,F,professor,186,186,119,224,51
2,M,professor,201,174,77,306,34
3,F,professor,118,196,126,257,125
4,F,professor,89,80,73,198,66
5,M,professor,136,99,102,195,86
6,F,professor,79,43,51,136,33
7,F,professor,112,196,92,143,38
8,M,professor,270,151,126,244,139
9,M,professor,114,164,100,116,39
10,M,professor,163,236,89,280,95
11,M,professor,114,89,65,261,74
12,F,professor,81,102,60 ,98,46
13,F,professor,105,75,103 ,242,48
14,M,professor,200,104,125 ,243,63
