ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,05:39,02:32,02:34,05:34,03:22
2,M,friend,03:55,02:23,02:12,05:36,10:30
3,F,friend,02:36,03:06,01:16,03:21,04:15
4,F,friend,02:25,01:07,01:29,02:00,02:26
5,M,friend,05:07,02:06,02:44,03:36,04:28
6,F,friend,02:39,01:26,02:07,04:12,02:17
7,F,friend,03:20,02:19,01:35,02:45,02:51
8,M,friend,03:33,01:56,02:03,05:35,06:10
9,M,friend,02:34,02:26,02:28,01:46,01:51
10,M,friend,02:56,02:55,03:21,03:18,05:38
11,M,friend,03:38,01:22,01:46,10:33,12:30
12,F,friend,02:46,02:28,02:10,03:16,05:11
13,F,friend,04:34,02:16,03:33,07:02,10:22
14,M,friend,05:18,02:09,03:46,03:58,04:15
1,F,professor,05:38,02:17,02:42,03:27,03:47
2,M,professor,02:11,02:18,02:30,04:12,02:50
3,F,professor,03:18,02:17,02:40,03:21,04:41
4,F,professor,02:42,01:14,01:29,03:11,02:33
5,M,professor,03:25,01:37,02:09,03:27,01:08
6,F,professor,02:34,00:56,02:23,02:24,02:31
7,F,professor,02:18,02:12,02:01,02:19,02:42
8,M,professor,03:21,01:43,01:59,03:39,04:44
9,M,professor,02:21,01:45,02:16,01:23,02:03
10,M,professor,02:56,02:45,01:41,03:37,03:30
11,M,professor,03:25,01:26,01:40,04:25,03:54
12,F,professor,02:17,01:20,01:53,02:08,04:05
13,F,professor,02:35,01:17,04:45,05:32,04:57
14,M,professor,03:30,01:22,02:40,03:08,03:19
