ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,43,5,15,13,24
2,M,friend,29,5,12,32,115
3,F,friend,11,2,6,1,41
4,F,friend,5,0,6,4,29
5,M,friend,20,4,17,4,36
6,F,friend,7,3,8,2,20
7,F,friend,28,0,9,5,25
8,M,friend,25,4,20,33,43
9,M,friend,14,3,16,4,25
10,M,friend,15,3,17,3,41
11,M,friend,27,1,14,29,97
12,F,friend,13,5,16,18,29
13,F,friend,30,2,23,41,97
14,M,friend,26,3,18,19,50
1,F,professor,29,4,11,2,10
2,M,professor,10,6,6,12,8
3,F,professor,17,1,8,1,2
4,F,professor,27,1,5,10,8
5,M,professor,13,3,7,9,4
6,F,professor,3,1,6,1,2
7,F,professor,10,1,5,3,4
8,M,professor,17,3,4,6,10
9,M,professor,7,0,5,4,2
10,M,professor,11,1,7,12,14
11,M,professor,10,2,11,14,8
12,F,professor,4,2,6,8,1
13,F,professor,7,0,6,14,8
14,M,professor,11,2,6,8,6
