ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,0,0,0,0,0
2,M,friend,0,0,0,0,2
3,F,friend,0,0,0,2,1
4,F,friend,0,0,0,0,0
5,M,friend,0,0,0,0,2
6,F,friend,0,0,0,0,1
7,F,friend,0,0,0,0,0
8,M,friend,0,0,0,3,0
9,M,friend,0,0,0,1,0
10,M,friend,0,0,0,0,3
11,M,friend,0,0,0,1,5
12,F,friend,0,0,0,3,2
13,F,friend,0,0,0,1,1
14,M,friend,0,0,0,2,1
1,F,professor,0,0,0,0,0
2,M,professor,0,0,0,0,0
3,F,professor,0,0,0,0,0
4,F,professor,0,0,0,0,0
5,M,professor,0,0,0,3,0
6,F,professor,0,0,0,0,0
7,F,professor,0,0,0,0,1
8,M,professor,0,0,0,0,0
9,M,professor,0,0,0,4,0
10,M,professor,0,0,0,0,0
11,M,professor,0,0,0,2,0
12,F,professor,0,0,0,0,0
13,F,professor,0,0,0,1,0
14,M,professor,0,0,0,2,0
