ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,0,1,5,1,0
2,M,friend,0,0,6,0,2
3,F,friend,1,0,3,0,1
4,F,friend,0,0,4,0,0
5,M,friend,0,0,1,0,0
6,F,friend,0,0,2,0,0
7,F,friend,2,0,1,0,0
8,M,friend,3,0,0,8,11
9,M,friend,0,0,1,0,0
10,M,friend,0,0,7,0,0
11,M,friend,0,0,2,0,0
12,F,friend,0,0,4,0,0
13,F,friend,0,0,4,0,0
14,M,friend,3,0,3,0,0
1,F,professor,34,9,47,27,26
2,M,professor,38,8,33,49,21
3,F,professor,23,4,43,37,51
4,F,professor,44,10,23,47,35
5,M,professor,23,2,24,29,25
6,F,professor,21,4,18,24,26
7,F,professor,25,5,23,38,33
8,M,professor,23,2,34,49,26
9,M,professor,23,0,29,13,32
10,M,professor,15,2,19,23,35
11,M,professor,24,5,23,39,41
12,F,professor,19,3,18 ,18,27
13,F,professor,29,2,29 ,34,18
14,M,professor,10,4,49 ,32,42
