ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,8,8,0,21,0
2,M,friend,0,15,1,32,4
3,F,friend,0,18,0,14,2
4,F,friend,0,1,0,9,0
5,M,friend,0,5,1,6,5
6,F,friend,0,7,1,18,0
7,F,friend,0,0,0,3,0
8,M,friend,1,4,0,12,5
9,M,friend,0,3,1,4,0
10,M,friend,0,5,1,12,3
11,M,friend,1,3,0,17,9
12,F,friend,0,2,0,14,3
13,F,friend,0,1,0,4,4
14,M,friend,3,4,0,6,2
1,F,professor,0,5,0,7,1
2,M,professor,0,8,0,37,0
3,F,professor,0,10,1,13,1
4,F,professor,0,0,0,1,0
5,M,professor,0,1,0,9,0
6,F,professor,1,0,0,12,0
7,F,professor,0,1,0,1,0
8,M,professor,0,3,0,10,2
9,M,professor,0,1,0,1,0
10,M,professor,0,0,1,13,5
11,M,professor,0,4,0,13,0
12,F,professor,0,0,0,7,0
13,F,professor,0,0,0,7,0
14,M,professor,1,0,0,10,0
