ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,647,659,412,884,86
2,M,friend,231,564,341,814,610
3,F,friend,399,747,156,490,264
4,F,friend,377,206,211,277,128
5,M,friend,535,379,459,457,262
6,F,friend,260,261,297,466,64
7,F,friend,304,513,224,377,91
8,M,friend,362,379,326,638,403
9,M,friend,383,545,447,244,103
10,M,friend,369,585,432,435,462
11,M,friend,490,233,179,1340,695
12,F,friend,233,412,202,401,188
13,F,friend,426,344,289,569,383
14,M,friend,877,538,565,757,306
1,F,professor,567,478,336,516,91
2,M,professor,575,441,230,687,60
3,F,professor,366,452,364,547,213
4,F,professor,310,206,206,434,122
5,M,professor,373,284,299,483,182
6,F,professor,240,109,165,291,43
7,F,professor,333,467,297,328,62
8,M,professor,751,337,338,607,269
9,M,professor,297,371,291,232,47
10,M,professor,465,597,243,597,188
11,M,professor,336,218,239,616,130
12,F,professor,207,250,186 ,222,74
13,F,professor,312,185,289,541,99
14,M,professor,543,259,398,550,109
