ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,39,28,44,34,1
2,M,friend,5,13,19,15,6
3,F,friend,26,14,10,9,8
4,F,friend,25,6,18,5,2
5,M,friend,26,5,25,11,3
6,F,friend,11,10,19,6,0
7,F,friend,2,10,15,5,3
8,M,friend,11,6,18,9,1
9,M,friend,22,19,38,6,1
10,M,friend,19,17,35,8,14
11,M,friend,22,3,21,21,7
12,F,friend,9,15,15,14,5
13,F,friend,10,11,15,10,4
14,M,friend,45,31,42,13,6
1,F,professor,16,6,24,9,0
2,M,professor,14,6,10,2,1
3,F,professor,13,4,15,9,0
4,F,professor,14,5,10,3,1
5,M,professor,6,6,10,10,0
6,F,professor,12,3,9,0,0
7,F,professor,2,16,13,2,0
8,M,professor,20,5,11,1,0
9,M,professor,8,2,15,0,0
10,M,professor,12,12,7,7,3
11,M,professor,13,2,15,9,0
12,F,professor,6,4,6,10,1
13,F,professor,6,3,9,3,1
14,M,professor,17,8,16,8,2
