ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,68,30,16,13,2
2,M,friend,13,19,20,25,11
3,F,friend,20,18,4,21,6
4,F,friend,27,13,15,20,1
5,M,friend,30,27,11,7,2
6,F,friend,34,16,21,22,0
7,F,friend,35,31,11,11,1
8,M,friend,45,33,17,26,19
9,M,friend,41,30,28,9,2
10,M,friend,34,42,31,20,14
11,M,friend,50,16,6,108,56
12,F,friend,14,19,8,14,7
13,F,friend,34,21,19,28,10
14,M,friend,88,19,47,23,16
1,F,professor,66,29,42,13,2
2,M,professor,54,23,31,23,0
3,F,professor,36,14,42,10,18
4,F,professor,26,15,17,16,2
5,M,professor,44,16,35,9,6
6,F,professor,23,11,16,13,0
7,F,professor,38,35,28,9,1
8,M,professor,77,29,40,28,10
9,M,professor,45,29,20,13,0
10,M,professor,47,45,32,44,8
11,M,professor,39,18,13,43,1
12,F,professor,19,16,13,13,2
13,F,professor,36,12,36,30,1
14,M,professor,62,29,55,20,3
