ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,129,95,71,145,46
2,M,friend,48,65,48,145,183
3,F,friend,72,107,30,70,94
4,F,friend,57,33,36,44,47
5,M,friend,106,51,73,80,85
6,F,friend,47,35,47,74,28
7,F,friend,63,58,41,67,46
8,M,friend,69,57,47,119,112
9,M,friend,69,87,64,44,44
10,M,friend,66,84,83,71,108
11,M,friend,82,28,31,229,216
12,F,friend,52,61,42,64,66
13,F,friend,87,46,61,138,166
14,M,friend,143,82,106,116,90
1,F,professor,109,88,58,84,42
2,M,professor,93,65,42,97,31
3,F,professor,83,64,62,85,83
4,F,professor,62,27,33,67,49
5,M,professor,60,31,37,77,49
6,F,professor,48,17,38,46,32
7,F,professor,56,57,50,62,33
8,M,professor,100,55,51,69,79
9,M,professor,53,49,47,30,36
10,M,professor,63,75,40,77,58
11,M,professor,60,33,46,93,54
12,F,professor,48,34,31 ,40,40
13,F,professor,62,26,48,88,35
14,M,professor,77,41,60,84,47
