var,Estimate,SE,Lower,Upper,PostAboveZero,PostBelowZero,p_AboveZero,p_BelowZero
backchannels,0.20509886044778006,0.3199756948952411,-0.42781825503374793,0.8339560440546668,6269,1731,0.783625,0.216375
case_ellipsis,-0.9568396087016903,0.3715115942329423,-1.6835124197295772,-0.14808062166243785,127,7873,0.015875,0.984125
content_morphemes,-0.12119092645687418,0.09025321008379097,-0.3028756012093837,0.05642402861508873,532,7468,0.0665,0.9335
dative_eykey,0.9422044125337722,1.5247338550123968,-2.1901064670037655,3.79476252043358,5942,2058,0.74275,0.25725
dative_hanthey,-1.0457603610716095,0.7862591544525027,-2.8202071062182092,0.3719745329873035,521,7479,0.065125,0.934875
fillers,-0.7265775758208668,0.42586339068153745,-1.5491320216232616,0.17245931887386082,374,7626,0.04675,0.95325
hago_lang,-1.1557262026101445,1.187849596617877,-3.4619083403882347,1.3313348925698942,1174,6826,0.14675,0.85325
hisses,0.6524585149229315,0.48556589340154976,-0.30624119488945817,1.6313403022145085,7426,574,0.92825,0.07175
honorific_lexemes,3.400445488889114,0.6800596101646734,1.8125898648936376,4.564912283324812,7988,12,0.9985,0.0015
honorific_suffixes,4.446375879186213,1.1461449346686678,1.8705561618976727,6.50857753913611,7995,5,0.999375,6.25e-4
ideophones,-0.9274292055800166,0.46911975383612,-1.9097114318907285,-0.007323879993444133,198,7802,0.02475,0.97525
kwa,-0.1876436655940803,0.8843352076085507,-1.956407544575527,1.641636032998472,3226,4774,0.40325,0.59675
morphemes,-0.19249474429956231,0.20833608120095487,-0.5858784981637037,0.21113619220883975,897,7103,0.112125,0.887875
pronouns,-0.7370355933905905,0.2933827466758757,-1.3472563452239632,-0.1417318880246027,109,7891,0.013625,0.986375
sinokorean,0.07347551861158046,0.31057420949867853,-0.5296093978815526,0.7409187832645469,4866,3134,0.60825,0.39175
total_utterances,-0.20146457236773993,0.14171309257988537,-0.4557495181546804,0.07286061549455695,380,7620,0.0475,0.9525
