name,friend,professor,prof_per,friend_rate,professor_rate,ProfFriendRateRatio,FriendProfRateRatio
backchannels,1056,848,45%,0.06950569341143947,0.07332468655425854,1.05,0.95
case_ellipsis,744,293,28%,0.04896992035805963,0.025335062689148292,0.52,1.93
content_morphemes,11223,9051,45%,0.7386954518528269,0.7826199740596628,1.06,0.94
dative_eykey,1,17,94%,6.58197854274995e-5,0.0014699524427150886,22.33,0.04
dative_hanthey,72,39,35%,0.004739024550779965,0.0033722438391699094,0.71,1.41
fillers,1410,487,26%,0.0928058974527743,0.042109814094249895,0.45,2.2
hago_lang,31,13,30%,0.0020404133482524846,0.001124081279723303,0.55,1.82
hisses,61,89,59%,0.00401500691107747,0.007695633376567229,1.92,0.52
honorific_lexemes,76,1720,96%,0.0050023036924899626,0.1487246000864678,29.73,0.03
honorific_suffixes,88,1071,92%,0.005792141117619957,0.09260700389105059,15.99,0.06
ideophones,303,187,38%,0.01994339498453235,0.016169476869865976,0.81,1.23
kwa,11,8,42%,7.240176397024946e-4,6.917423259835712e-4,0.96,1.05
morphemes,28992,22550,44%,1.9082472191140656,1.949848681366191,1.02,0.98
pronouns,1021,493,33%,0.06720200092147699,0.04262862083873757,0.63,1.58
sinokorean,1615,1691,51%,0.1062989534654117,0.14621703415477735,1.38,0.73
total_utterances,5496,3946,42%,0.3617455407095373,0.34120190229139646,0.94,1.06
